,GPS,IMU,VelocidadLlantas,PorcentajeLlenado,KilosProcesados,VelocidadTrilladora,NivelCombustible,Kilometraje,NivelAceite,PresionLlantas
1346,31.49,77.27,17.4,70.85,5.77,43.71,77,98.18,14.58,95.36
1347,54.09,5.93,89.22,57.95,66.55,86.2,47.81,94.2,34.49,49.18
1348,52.94,3.96,93.97,5.39,43.61,4.63,30.63,13.61,96.53,77.41
1349,12.67,99.57,9.32,25.14,92,55,99.56,50.48,73.3,86.12
1350,71.57,71.35,70.26,67.04,41.11,30.34,63,78.56,16.22,46.86
1351,6.73,23.38,44.04,41.67,4.23,2.07,12.44,23.78,41.33,4.95
1352,29.83,84.17,73.92,95.22,89.55,74.71,59.4,88.67,72.13,22.47
1353,97.32,20.14,80.54,77.41,52.32,76.1,65.69,84.21,42.49,94.63
1354,16.57,35.36,2.04,30.81,67.88,48.72,15.3,56.46,48.33,18.46
1355,51.23,46.2,73.61,3.72,50.48,63.23,5.57,79.83,52.08,97.33
1356,73.57,44.71,77.92,28.83,61.16,29.4,92.33,36.39,12.47,25.87
1357,95.82,21.34,34.57,17.54,11.06,13.34,9.84,89.27,77.82,63.76
1358,41.9,22.16,91.66,18.26,85.61,63.03,89.52,81.32,87.91,9.71
1359,0.71,78.79,69.01,36.01,79.56,86.54,24.63,20.85,20.04,52.25
1360,8.97,33.57,73.68,20.63,91.98,96.02,52.3,29.7,73.44,53.48
1361,11.99,27.08,21.9,30.9,15.33,55.3,61.23,42.74,48.2,86.93
1362,55.34,61.4,90.07,73.3,60.71,1.17,54.56,9.05,94.21,78
1363,74.09,98.96,95.29,8.17,1.19,75.94,36.08,3.88,10.92,85.27
1364,17.64,49.19,29.45,36.18,75.85,39.97,53.81,66.25,89.39,48.69
1365,30.02,37.37,10.59,59.7,23.16,59.69,79.87,16.42,90.83,81.32
1366,42.96,36.39,48.9,96.87,78.05,70.05,50.19,68.23,19.42,94.33
1367,7.9,9.58,14.45,13.11,86.8,31.06,10.56,50.77,32.29,5.26
1368,14.24,94.78,73.11,93.02,58.56,73.07,40.83,79.85,55.23,23.06
1369,95.89,38.58,83.33,47,37.89,12.23,31.23,16.36,75.33,25.45
1370,12.57,56.53,74.58,78.12,76.96,50.77,34.07,36.45,56.09,8.06
1371,89.45,97.06,95.6,69.84,59.4,97.31,19.59,20.31,73.03,51.02
1372,31.47,31.07,70.27,52.89,84.63,90.2,65.12,68.59,14.68,83.91
1373,51.69,14.03,85.63,3.23,69.29,67.6,59.21,59.63,69.89,22.56
1374,94.19,2.6,13.19,89.74,11.09,90.45,64.87,18.06,55.37,48.13
1375,11.81,45.49,34.55,76.66,24.3,41.55,21.47,87.22,16.45,16.25
1376,18.61,97.41,88.42,51.38,17.69,1.2,14.41,89.47,66.52,52.79
1377,78.57,39.41,55.77,40.06,8.07,69.77,43.44,8.81,2.64,40.21
1378,73.81,27.05,92.34,67.24,4.57,0.35,84.3,47.93,90.08,47.43
1379,65.24,94.44,78.67,8.2,75.71,20.2,88.71,55.17,2.64,27.27
1380,90.57,71.79,26.55,79.63,77.07,53.68,19.57,52.45,71.18,97.48
1381,17.97,24.58,37.74,25.57,98.56,5.18,46.66,23.09,59.2,20.8
1382,16.25,65.38,19.17,90.06,37.08,58.27,47.01,47.38,65.35,85.62
1383,18.75,40.94,77.16,70.44,35.13,51.94,45.68,98.35,74.62,14.75
1384,36.03,1.43,89.57,11.09,75.66,96.87,58.34,69.67,3.03,12.46
1385,27.88,65.33,67.69,25.23,83.43,35.77,81.01,88.78,24.7,32.51
1386,37.87,65.35,36.27,90.81,94.1,18.77,42.52,20.18,80.76,76.5
1387,31.85,38.82,88.43,34.15,18.53,57.04,46.11,49.2,90.44,80.68
1388,97.78,43.77,1.43,41.47,32.24,4.17,69.49,59.71,75.69,92.52
1389,2.5,64.75,29.11,27.71,8.85,59.07,93.08,88.21,36.61,79.31
1390,98.93,39.84,23.52,79.19,15.84,86.23,2.81,48.9,46.01,19.77
1391,25.31,38.51,90.89,95.35,35.49,91.45,79.76,98.77,40.12,11.75
1392,98.82,35.62,50.15,3.58,5.96,31.43,94.1,69.86,24.53,68.11
1393,52.69,87.32,29.75,47.1,73.22,54.2,66.39,74.38,29.73,98.39
1394,75.77,47.38,52.74,41.41,63.46,1.64,2.67,15.43,21.43,28.65
1395,81.46,98.13,56.67,18.59,84.45,88.14,17.01,45.46,72.28,16.44
1396,1.2,93.8,25.42,6.7,75.18,77.19,55.18,26.59,50.33,37.53
1397,42.76,90.24,26.72,75.63,4.85,97.41,49.31,51.29,2.17,44.28
1398,20.2,95.41,83.16,40.39,2.76,15.35,81.3,76.34,80.84,70.97
1399,36.81,60.41,47.01,95.93,82.75,90.49,90.04,23.39,62.38,61.73
1400,72.36,57.88,73.25,97.16,60.09,55.23,43.48,29.1,45.28,3.01
1401,63.82,21.81,39.54,26.88,45.28,12.23,99.87,70.39,74.15,27.93
1402,14.59,56.43,46.57,67.46,3.72,20.34,3.98,97.35,91.51,98.3
1403,49.56,64.57,9.87,6.58,34.2,6.56,30.12,58.45,33.14,91.78
1404,67.22,69.71,49.03,88.05,29.84,46.56,87.78,19.94,80.97,36.89
1405,75.7,3.79,25.17,65.97,85.29,90.53,56.65,25.76,70.45,63.9
1406,79.68,35.96,66.81,9.92,65.58,60.26,74.28,68.91,84.99,97.85
1407,58.1,12.16,40.25,21.88,0.64,26.21,36.11,82.93,84.25,36.13
1408,18.67,36.82,17.5,84.17,23.61,58.57,28.95,6.94,46,21.79
1409,43.82,35.48,12.41,60.16,62.19,51.58,27.88,76.52,2.96,60.31
1410,47.76,91.22,62.77,61.79,88.47,8.37,25.33,23.29,31.34,51.69
1411,81.86,69.02,79.62,93.43,69.85,95.53,6.1,41.01,80.31,6.28
1412,24.24,30.23,79.5,90.2,30.86,95.59,7.75,49.81,64.72,13.38
1413,79.74,52.26,15.36,75.49,71.05,13.36,40.21,6.3,85.53,20.87
1414,37.82,84.17,92.38,74.51,60.51,50.26,38.68,69.43,72.42,84.37
1415,67.32,52.62,35.21,69.11,83.67,88.52,7.47,61.4,8.91,94.25
1416,83.68,52.77,38.51,13.75,36.82,87.47,17.55,62.27,14.55,49.08
1417,10.17,0.97,73.3,91.11,58.39,34.85,17.67,80.56,48.7,75.3
1418,12.8,90.94,54.85,28.62,87.75,86.93,51.7,62.17,12.64,68.39
1419,35.01,84.52,51.28,34.82,49.46,45.01,68.26,33.61,46.44,33.86
1420,4.58,38.88,64.22,53.4,61.32,34.52,33.4,25.33,47.74,5.34
1421,7.19,83.59,29.64,48.62,70.06,7.85,45.94,27.16,30.76,61.6
1422,47.03,7.98,83.48,0.93,51.95,46.22,80.07,78.14,93.3,68.23
1423,22.15,77.84,60.92,68.82,83.51,80.15,98.82,72.69,33.6,5.92
1424,94.99,64.13,35.65,90.72,41.86,50.97,47.87,75.92,37.52,19.24
1425,12.99,43.03,2.8,29.17,54.91,32.63,38.71,27.64,65.29,64.01
1426,22.37,35.91,14.87,65.43,10.84,85.86,31.06,46.7,51.97,71.63
1427,93.46,41.09,7.6,5,57.11,12.6,61.54,42.98,10.08,87.82
1428,9.74,40.13,11.69,52.86,58.9,25.14,69.8,99.83,15.15,19.14
1429,41.56,44.28,98.31,36.35,51.02,36.73,93.52,9.33,27.54,99.8
1430,95.76,64.11,76.97,27.86,36.72,31.85,85.19,24.45,2.84,15.45
1431,11.78,56.62,50.63,97.31,47.19,61.71,31.39,9.32,97.54,41.66
1432,67.31,29.76,65.75,36.95,53.09,68.09,45.59,37.63,17.95,23.88
1433,27.35,39.52,55.51,29.92,12.45,20.45,60.37,34.9,49.59,82.64
1434,25.78,63.45,21.64,38.03,58.14,36.05,13.52,41.05,58,47.8
1435,66.8,66.98,20.54,21.41,42.88,26.1,74.99,0.81,82.37,23.37
1436,37,29.48,54.94,43.47,99.25,35.05,69.93,82.69,68.21,31.02
1437,11.74,58.45,73.07,78.17,92.52,38.58,54.15,68.83,18.6,33.78
1438,24.89,15.67,45.39,22.17,52.78,82.57,6.82,76.69,10.64,67.66
1439,81.7,26.24,35.19,29.43,64.79,23.54,67.63,9.67,80.28,39.49
1440,82.46,46.07,22.99,93.74,21.24,44.48,21.98,50.32,79.66,58.08
1441,64.25,74.83,64.11,94.19,14.34,68.41,80.55,7.15,61.32,53.83
1442,23.99,23.03,31.58,18.63,48.77,33.51,93.29,42.24,13.42,37.27
1443,44.83,3.14,52.54,68.32,64.04,82.18,28.07,32.18,70.35,43.07
1444,47.41,67.6,96.17,46.85,94.4,14.52,24.45,41.27,13.82,61.4
1445,66.65,4.75,25.01,33.16,49.75,73.36,53.18,12.6,16.68,62.45
1446,88.9,75.03,10.9,99.1,54.03,97.27,8.3,44.98,13.44,77.33
1447,34.77,56.13,95.41,68.71,74.09,94.32,59.29,8.73,75.37,92.5
1448,60.06,22.45,85.93,17.16,3.04,16.08,49.98,54.26,64.78,41.03
1449,92.52,12.93,94.41,89.85,23.23,57.17,20.84,8.79,72.43,1.12
1450,70.79,55.59,72.81,68.76,0.72,24.54,49.84,68.51,24.58,77.2
1451,1.84,68.97,93.75,21.68,83.49,95.69,55.49,79.69,70.34,30.85
1452,26.17,68.84,25.18,5.23,99.05,4.08,72.12,22.3,32.57,15.6
1453,52.52,36.57,20.99,25.02,69.1,15.69,55.13,5.3,64.7,3.25
1454,40.73,57.18,68.68,64.13,68.37,76.68,23.19,44.97,56.8,37.07
1455,41.98,11.11,33.72,79.86,44.42,46.41,74.5,64.16,85.17,42.19
1456,22.59,10.69,73.23,13.19,95.65,55.29,8.5,53.54,9.25,6.02
1457,92.37,18.65,64.29,79.79,22.29,80.08,70.84,96.35,44.03,63.55
1458,22.96,38.76,95.2,28.85,87.69,83.64,16.42,32.52,4.74,58.82
1459,37.95,31.2,2.43,80.83,88.65,97.32,9.76,11.54,81.66,42.31
1460,25.67,23.47,43.09,52.28,54.57,52.59,99.85,72.22,95.3,90.65
1461,37.54,57.6,70.97,76.96,0.75,8.57,43.43,2.29,22.15,21.67
1462,16.98,9.78,63.27,97.46,89.36,72.09,3.45,39.25,38.87,75.22
1463,66.52,6.48,59.32,64.29,53.88,54.38,51.63,5.39,24.83,71.12
1464,19.71,96.32,23.64,64.02,14.19,91.33,29.13,20.89,0.18,63
1465,5.69,14.78,7.07,8.84,72.99,87.41,66.5,24.37,58.06,45.28
1466,88.63,32.5,91.91,47.5,37.61,74.05,97.25,67.65,55.5,37.45
1467,26.78,64.38,8.66,37.71,39.5,21.95,63.41,13.46,24.11,93.6
1468,9.58,45.36,60.41,16.19,52.78,70.63,73.95,80.63,50.6,10.53
1469,95.75,70.86,45.08,73.08,53.27,39.18,13.86,26.93,22.71,11.74
1470,28.97,11.71,46.88,21.7,33.62,40.51,85.15,12.68,8.58,21.36
1471,72.47,33.88,89.21,24.79,36.88,16.82,0.94,1.04,73.05,61.28
1472,90.1,86.52,17.11,80.11,73.34,0.05,22.63,67.11,55,71.54
1473,59.56,28.07,98.79,65.1,18.31,34.5,80.8,27.53,89.23,30.83
1474,93.12,32.73,55.88,83.92,23.02,28.56,5.79,99.44,97.55,2.79
1475,28.91,29.82,9.94,17.46,99.03,99.14,91.68,82.01,37.75,94.9
1476,55.59,74.91,91.57,7.54,86.68,69.16,74.31,94.18,79.76,18.47
1477,51.68,73.95,95.69,33.82,78.77,87.4,88.32,34.4,28.86,19.09
1478,84.85,0.3,21.81,63.34,32.67,43.49,26.52,88.94,86.24,99.08
1479,30.57,68.17,48.5,40.45,4.53,4.12,25.04,64.93,65.72,14.42
1480,5.35,13.96,36.07,65.08,43.79,7.39,84.99,17.94,13.61,18.25
1481,86.06,15.94,91.42,75.22,24.96,53.37,61.73,33.5,87.98,65.37
1482,28.31,17.72,29.18,34.81,13.46,16.62,70.56,34.32,44.45,16.47
1483,96.95,53.94,90.24,98.98,26.77,4.85,70.62,71.1,55.02,18.25
1484,10.91,50.45,27.71,47.02,1.75,96.62,29.32,45.13,34.79,7.08
1485,17.25,42.46,21.22,82.6,76.68,43.73,98.27,29.1,65.87,53.66
1486,4.8,22.73,24.11,81.64,87.08,93.51,11.23,83.74,12.39,46.07
1487,49.09,81.09,94.77,73.09,97.76,49.78,97,54.53,36.76,69.91
1488,36.32,18.81,18.83,31.48,44.3,8.41,60.21,65.61,52.25,83.32
1489,19.19,1.24,38.74,6.18,45.49,51.04,95.75,80.19,84.83,55.1
1490,70.86,79.99,62.95,26.96,55.34,7.24,72.15,97.06,13.92,82.35
1491,38.55,78.86,8.12,53.77,15.58,52.59,13.16,50.34,60.23,55.74
1492,97.97,15.09,34.14,59.28,33.69,0.21,26.89,71.24,39.65,60.71
1493,91.15,44.78,16.6,1.15,14.03,93.23,74.38,69.25,41.56,77.48
1494,32.91,52.38,42.78,81.42,38.56,39.91,87.02,74.93,95.4,71.4
1495,69.91,6.25,2.75,63.4,75.6,75.75,44.94,35,81.64,68.85
1496,12.15,0.08,16.24,15.23,9.98,50.29,96.15,23.19,71.91,48.23
1497,67.13,77.07,0.81,66.22,43.48,93.28,83.44,27.54,14.62,20.18
1498,3.61,99.7,20.73,1.33,32.9,28.94,20.87,61.12,27.28,52.01
1499,66.12,4.86,85.71,28.21,45.79,60.2,87.53,24.38,89,13.79
1500,27.72,60.43,19.98,98.94,87.67,97.2,99.29,26.92,23.02,93.61
1501,9.87,17.98,21.68,2.31,53.69,24.03,25.81,96.64,93.75,19.29
1502,80.68,5.69,19.54,41.04,18.41,22.68,20.5,48.53,64.09,28.15
1503,19.8,40.22,71.16,10.24,46.7,51.76,13.4,1.9,78.92,45.75
1504,76.32,39.49,0.43,37.83,99.74,87.77,50.68,55.3,44.33,54.79
1505,24.3,86.65,16.29,99.55,52.6,72.88,68.72,17.33,77.3,69.65
1506,76.39,63.22,42.05,70.06,21.07,70.22,26.4,53.45,92.14,79.21
1507,31.38,96.48,32.44,92.55,21.34,61.74,81.35,86.11,34.21,8.54
1508,73.08,6.31,22.02,80.05,70.06,41.81,52.4,48.05,49.87,81
1509,14.74,99.22,88.86,28.04,15.62,85.56,64.86,45.95,1.99,12.57
1510,22.49,36.28,26.09,42.4,84.35,98.53,92.46,21.89,57.49,60.04
1511,98,34.11,15.51,87.52,67.01,54.48,42.8,74.73,83.21,19.42
1512,43.61,59.42,11.81,10.94,48.18,14.28,51.11,64.76,37.11,8.02
1513,0.9,16.93,9.23,8.78,54.52,29.48,77.53,29.71,93.13,53.85
1514,66.31,94.66,11.53,81.8,41.61,17.16,30.96,50.69,47.56,51.3
1515,56.18,53.4,42.44,65.26,40.44,38.18,51.93,42.12,76.31,9.77
1516,19.49,7.62,81.82,48.05,28.78,59.97,76.96,35.93,20.31,44.82
1517,72.31,53.93,8.45,12.29,79.02,57.23,57.01,79.82,76.14,2.68
1518,71.95,44.05,1.15,39.02,41.74,13.39,43.87,12.32,89.19,63.62
1519,44.79,36.93,8.03,35.6,85.72,14.4,90.73,2.82,81.53,29.53
1520,65.96,14.51,44.39,50.45,87.22,43.2,27.21,87.56,23.55,32.63
1521,56.59,82.57,33.58,64.59,83.2,54.78,31.22,87.07,20.84,38.13
1522,86.47,11.74,40.82,73.14,15.99,45.96,1.48,76.9,57.97,19.93
1523,97.86,78.47,85.77,51.61,74.49,61.51,37.37,32.22,51.72,95.58
1524,57.68,53.11,41.9,87.77,7.92,35.63,59.22,36.15,37.99,55.16
1525,82.84,50.72,75.24,27.86,41.81,94.3,46.87,68.68,20.15,88.27
1526,3.29,54.81,1.09,2.59,87.33,10.41,27.73,44.87,34.8,14.44
1527,65.25,90.07,62.17,15.86,39.21,34.44,73.42,0.02,0.95,50.5
1528,78.31,9.76,71.76,5.3,37.07,94.39,67.9,43.22,27.19,47.12
1529,99.54,32.21,30.64,81.75,71.85,12.92,15.57,19.84,11.4,92.53
1530,11.01,97.26,7.62,67.01,50.24,97.26,65.22,40.11,72.18,44.9
1531,75.59,0.98,45.62,50.73,59.63,7.87,92.15,56.48,97.9,27.29
1532,52.95,5.36,72.49,81.05,63.55,5.34,53.05,83.61,42.55,58.03
1533,89.47,51.51,37.73,93.1,49.98,91.3,69.97,53.25,24.22,76.76
1534,49.76,61.6,59.28,73.08,29.08,5.19,85.43,82.51,75.09,56.11
1535,90.6,5.48,89.81,90.39,41.34,61.42,25.87,46.76,32.66,94.43
1536,70.11,56.34,62.37,26.92,83.23,39.35,79.1,99.83,7.46,92.19
1537,20.43,95.6,83.1,93.94,8.63,78.59,35.48,50.56,57.35,99.19
1538,28.56,36.26,98.3,97.22,70.15,44.01,48.38,27.84,67.52,19.17
1539,74.57,68.12,1.31,53.41,56.3,88.46,73.55,47.8,51.64,8.32
1540,70.56,92.06,15.98,18.43,46.51,3.9,84.16,72.51,27.93,34.37
1541,11.81,9.44,84.66,44.26,9.85,81.19,15.85,74.18,8.8,69.86
1542,9.11,28.32,15.69,24.84,52.65,99.95,4.8,70.39,1.77,15.72
1543,57.17,35.38,15.57,96.17,79.28,89.99,34.47,79.5,1.74,19.26
1544,50.58,26.24,64.5,10.32,4.61,61.45,75.1,39.55,74.45,70.55
1545,15.48,3.21,75.48,63.09,4.77,81,33.67,34.1,63.8,11.43
1546,23.63,75.31,61.82,7.29,98.8,45.4,60.58,56.62,11.76,15.41
1547,11.38,47.92,36.77,47.28,1.45,54.25,36.07,36.91,7.32,96.25
1548,24.8,52.38,16.93,17.74,15.42,0.5,26.26,68.58,0.41,28.73
1549,36.44,11.24,64.88,70.8,98.07,46.26,90,2.3,96.53,30.22
1550,5.89,76.22,99.29,74.42,74.7,63.93,33.37,32.17,34.1,26.21
1551,66.09,97.5,66.23,45.45,8.35,59.72,35.38,90.15,49.26,98.12
1552,2.09,27.75,9.98,88.73,58.46,11.41,90.65,36.14,39.08,61.66
1553,41.92,19.89,54.32,6.33,64.52,12.39,46.65,41.91,93.04,28.88
1554,77.38,32.37,41.26,15.48,39.86,69.75,36.65,88.92,24.93,74.22
1555,61.72,15.38,48.81,24.05,89.79,36.87,45.01,91.05,12.05,13.55
1556,60.33,62.15,29.92,92.92,13.51,3.75,7.69,62.32,37.61,46.15
1557,92.44,51.38,43.11,70.99,72.98,33.65,33.76,47.43,61.42,77.49
1558,43.72,22.26,63.16,79.24,78.89,21.4,56.2,27.28,16.51,6.89
1559,79.04,3.05,7.65,22.66,14.29,13.47,84.43,78.29,90.55,76.34
1560,2.39,46.42,73.86,64.39,4.79,62.85,15.28,49.54,24.45,60.52
1561,35.83,84.84,98.37,81.71,88.51,51.05,69.66,4.98,46.41,10.19
1562,28.14,37.99,56.63,28.24,16.6,1.33,76.85,58.6,18.65,8.32
1563,33.84,19.05,37.71,11.31,60.85,57.67,79.89,78.05,44.43,93.04
1564,75.09,82.85,63.11,17.58,62.2,8.66,8.7,8.31,91.07,12.19
1565,71.99,55.81,38.02,87.55,43.34,11.36,70.8,32.65,42.32,95.57
1566,37.61,3.23,75.49,43.34,77.67,66.78,25.89,56.6,16.15,38.67
1567,64.74,92.46,81.45,31.67,6.1,58.18,42.2,86.29,46.6,77.2
1568,51.21,29.86,1.02,34.48,44.08,33.5,5.77,47.12,92.08,81.13
1569,44.27,37.22,27.86,30.39,87.5,4.16,62.57,34.21,49.77,65.22
1570,68.11,77.44,81.45,37.98,66.73,29.94,62.13,13.96,9.1,92.05
1571,6.47,32.64,5.54,1.07,79.44,98.86,46.85,16.89,30.93,87.74
1572,64.7,12.16,75.95,21.42,63.38,29.79,7.58,72.65,30.82,60.46
1573,88.58,33.47,9.02,41.87,76.07,10.82,57.86,46.17,76.18,60.22
1574,18.64,93.7,17.56,72.72,77.31,4.26,54.4,25.87,12.9,7.05
1575,10.06,14.03,74.12,20.85,53.53,95.71,57.64,86.78,15.86,52.31
1576,83.45,88.63,48.02,15.29,23.84,62.05,50.05,55.92,90.76,85.24
1577,58.17,56.56,55.92,51.45,29.74,74.87,46.97,5.86,72.58,21.59
1578,35.74,91.76,93.78,20.23,75.42,74.23,27.9,3.99,62.22,77.93
1579,18.36,10.24,81.08,86.88,94.51,43.68,53.35,18.78,94.68,45.63
1580,8.28,80.3,7.09,0.26,77.34,62.69,39.28,75.7,72.19,34.79
1581,25.01,4.79,77.73,36.06,28.7,31.02,61.13,44.35,80.19,0.24
1582,32.98,97.27,57.48,3.3,89.78,59.09,38.05,61.9,77.9,28.67
1583,46.16,13.19,9.18,82.64,2.58,60.47,79.59,70.44,80.05,16.31
1584,46.92,84.31,16.8,55.72,15.63,65.09,9.8,87.51,54.38,23.32
1585,52.74,61.09,41.5,35.73,62.44,33.6,41.76,13.07,61.24,19.32
1586,8.74,14.85,7.85,5.47,70.8,23.56,42.99,26.29,1.84,5.42
1587,30.93,84.37,76.25,0.65,9.21,80.96,60.42,39.53,68.86,0.5
1588,54.54,29.14,65.67,28.01,66.9,43.33,90.8,51,92.52,51.18
1589,82.37,10.18,90.75,2.4,49,18.71,7.08,57.35,54.99,46.22
1590,46.52,49.06,97.22,35.81,21.69,84.95,84.77,36.85,16.34,86.39
1591,72.87,68.26,11.03,98.82,35.07,47.14,32.84,22.6,43.59,69.47
1592,86.95,62.39,51.29,83.19,55.16,61.27,11.71,8.22,68.73,35.47
1593,76.98,14.39,97.73,85.05,60.41,67.99,2.63,18.9,76.96,41.66
1594,38.19,92.52,14.43,9.23,9.82,5.25,62.78,12.28,27.54,84.96
1595,35.92,8.29,97.46,18.37,31.95,87.59,81.24,80.31,76.71,33.75
1596,31.15,78.25,56.31,32.56,18.72,63.71,56.84,98.92,33.99,55.02
1597,49.88,31.24,38.75,57.05,72.36,53.31,35.19,60.08,15.26,45.01
1598,24.08,93.36,31.85,95.48,13.39,84.29,40.71,36.19,31.66,89.17
1599,23.78,27.5,86.93,77.51,15.16,70,20.69,16.44,91.14,4.19
1600,23.58,27.27,50.96,9.4,63.31,63.77,6.13,98.2,80.05,2.01
1601,20.88,59.39,17.73,81.11,73.42,37.81,54.87,5.47,89.99,98.2
1602,88.28,21.75,79.54,77.33,84.96,3.67,63.69,16.22,86.62,98.73
1603,64.76,65.97,26.27,95.34,50.52,32.04,72.23,58.77,9.24,72.6
1604,7.42,89.69,76.32,27.58,19.19,87.57,76.37,58.87,91.01,74.51
1605,18.04,28.67,33.64,16.05,31.21,55.37,21.82,48.98,46.41,56.72
1606,62.49,48.94,46.61,33.69,58.98,79.38,68.83,98.19,88.37,49.01
1607,69.3,48.33,87.96,43.51,13.56,16.72,39.54,86.11,34.7,6.73
1608,30.55,62.42,81.09,7.78,60.54,64.35,81.33,63.46,99.02,85.67
1609,48.3,75.92,23.78,49.6,81.78,35.54,30.37,62.95,22.83,46.84
1610,14.21,5.47,77.49,65.78,5.53,75.46,82.5,84.61,12.4,83.51
1611,66.66,1.92,32.33,92.01,28.34,95.03,68.61,7.91,13.42,15.56
1612,96.65,98.68,93.79,75.42,58.23,67.11,75.27,18.48,32.54,47.28
1613,88.75,83.91,20.62,4.69,36.58,72.68,81.43,44.69,44.9,66.07
1614,75.59,98.99,20.66,0.84,74.94,29.09,11.69,77.79,88.84,15.5
1615,4.94,89.67,29.94,74.19,72.5,58.79,9.93,49.21,32.16,74.22
1616,77.91,42.64,96.23,28.65,40.2,72.46,80.9,12.15,4.48,96.46
1617,95.18,31.87,35.2,96.42,40.61,53.98,75.76,93.43,63.2,43.79
1618,0.98,73.43,18.81,56.06,75.57,69.2,37.56,88.16,31.87,41.77
1619,20.27,0.2,2.31,94.94,67.05,38.55,73.68,64.05,15.42,31.92
1620,36.81,27.4,47.98,55.17,19.44,50.82,48.85,16.1,61.92,70.79
1621,54.77,14.03,7.68,29.4,71.64,13.44,75.51,33.06,55.71,86.95
1622,45.43,21.59,52.59,62.25,35.25,14.34,51,44.51,34.29,23.48
1623,16.34,42.89,51.25,44.03,23.89,50.42,45.75,60.87,28.31,10.44
1624,75.86,86.29,10.49,54.2,38.56,88.63,2.68,83.55,36.4,22.42
1625,59.84,80.77,35.97,52.81,71.42,2.92,95.54,67.55,32,42.02
1626,24.84,19.77,86.18,75.5,17.23,24.75,56.6,40.83,84.25,9.22
1627,9.71,48.74,19.98,98.97,14.38,91.92,87.47,38.16,25.79,23.95
1628,66.71,42.45,69.43,48.9,24.41,11.16,10.1,4.13,10.78,16.53
1629,11.17,30.58,79.74,37.32,44.4,6.89,9.08,29.87,97.08,38.75
1630,48.42,22.65,75.83,98.43,65.18,49.06,13.03,76.73,87.35,99.69
1631,42.64,36.39,60.65,1.3,74.39,31.95,48.57,31.87,32.91,80.52
1632,75.35,23.38,37.84,0.73,15.14,34.96,3.08,89.55,24.36,25.27
1633,5.29,2.59,47.43,82.25,81.81,37.11,15.65,55.18,89.46,38.54
1634,83.35,34.04,36.45,65,27.09,33.06,54.8,74.82,54.02,43.45
1635,54.4,43.78,66.36,52.11,88.02,67.55,78.02,0.54,78.91,42.94
1636,42.3,27.49,48.46,28.02,19.34,66.41,5.43,86.74,9.22,84.02
1637,59.59,36.18,30.04,42,2.8,2.09,19.99,28.45,76.96,17.21
1638,28.91,97.43,54.36,30.59,93.22,10.93,17.64,37.05,31.44,23.08
1639,46.34,12.26,41.71,99.8,5.16,66.5,83.4,50.62,4.81,14.44
1640,51.52,13.92,18.99,5.26,78.75,51.83,90.55,24.68,63.39,65.57
1641,75.49,42.96,51.05,98.41,42.92,3.67,45.54,87.54,14.98,50.46
1642,99.84,66.96,45.42,5.79,9.27,82.27,78.93,30.29,49.32,46.41
1643,58.34,96.3,7.47,32.8,48.03,73.66,88.46,79.5,84.25,47.11
1644,80.14,99.42,95.09,15.47,32.77,87.62,50.07,63.34,70.76,73.8
1645,85.83,95.42,3.24,88.18,74.08,2.79,38.68,62.35,10.02,40.27
1646,34.25,76.31,3.77,45.34,22.16,52.7,36.94,65.07,6.99,66.29
1647,42.07,43.45,62.08,40.39,87.38,91.63,28.22,8.33,57.56,41.36
1648,83.54,97.34,86.54,47.31,67.25,57.36,59.3,65.79,91.11,43.43
1649,80.23,26.07,12.57,85.4,35.48,3.61,97.68,76.06,40.13,16.78
1650,83.02,30.41,70.51,31.98,62.9,56.97,5.67,88.64,61.69,40.37
1651,45.68,33.54,59.57,86.41,21.25,57.31,96.81,44.48,79.62,70.03
1652,28.17,90.12,87.63,54.3,68.9,21.83,93.93,30.21,46.78,9.5
1653,23.42,75.06,58.64,40.87,81.01,95.64,19.29,38.69,93.55,88.56
1654,83.57,67.54,97.02,55.46,83.61,27.25,63.15,7.99,26.96,10.93
1655,14.19,90.87,46.74,65.2,67,4.47,4.47,95.74,53.3,98.09
1656,75.91,27.83,72.68,87.64,45.92,98.17,91.91,82.98,60.69,3.18
1657,30.01,88.32,58.51,0.58,91.53,5.92,80.55,8.42,12.64,59.86
1658,33.35,6.87,41.72,32.34,12.23,95.57,56.5,95.73,42.7,99.83
1659,69.7,16.69,21.13,90.94,80.38,86.41,59,48.68,52.98,51.9
1660,89.16,20.93,72.28,45.84,36.09,9.49,46.83,6.19,48.42,0.53
1661,89.79,37.4,55.85,62.29,34.42,36.16,53.58,39.29,91.46,41.2
1662,20.47,85.39,39.23,73.9,28.85,5.8,36.8,35.59,47.19,82.32
1663,27.08,73.24,77.86,31.12,54.67,69.13,39.21,55.41,1.58,99.84
1664,80.12,54.97,43.92,31.25,99.87,88.07,30.35,67.05,77.17,19.39
1665,33.01,29.67,2.1,94.1,89.58,88.39,65.21,35.26,51.1,51.2
1666,88.56,28.15,77.3,35.95,41.93,44.15,8.79,53.42,43.08,39.47
1667,43.63,74.69,64.65,76.69,61.99,66.92,40.26,14.2,43.73,70.89
1668,54.24,81.55,50.82,26.87,6.45,62.25,33.19,51.82,42.22,5.13
1669,67.68,87.43,69.52,9.52,98.63,15.49,76.03,33.16,64.17,17.82
1670,78.01,6.87,28.96,25.1,86.06,48.86,93.18,37.9,89.99,1.41
